text	uri
"Telematik Konzeption und Integration neuer Funktionen zur Visualisierung von vergangenen und prognostizierten Fahrerdaten in die bestehende ""TACHOmobile connect"" Applikation Anwendungssoftware Hochschulschrift Anwendungssoftware"	th-wildau:ST230
Allgemeiner Maschinenbau Konstruktion einer UHV-Schleuse für feste Probenkörper zur Bestimmung ihrer Gasabgaberaten Messeinrichtung Konstruktion Hochschulschrift Messeinrichtung Konstruktion	th-wildau:ZL3000
Allgemeiner Maschinenbau Erarbeitung von technologischen Reparaturnormativen zur Reparatur von GSP 54 Normung Reparatur Hochschulschrift Normung Reparatur	th-wildau:ZL3000
Allgemeiner Maschinenbau Technologie für die Herstellung eines Rotorsatzes S 3-1250.3 mit den dazugehörigen technologischen Variantenvergleichen Fertigung Technologie Hochschulschrift Fertigung Technologie	th-wildau:ZL3000
Business Administration Aktuelle Herausforderungen der Flughafenfinanzierung in Europa und deren Begegnung durch zukunftsorientierte Geschäftsmodelle am Beispiel des Flughafen Leipzig Geschäftsmodell Flughafen Infrastruktur Finanzierung Hochschulschrift Geschäftsmodell Flughafen Infrastruktur Finanzierung	th-wildau:QP120
Allgemeiner Maschinenbau Konstruktive Überarbeitung der Bohrspindel der Papierbohrmaschine Typ 101 DTB Bohrmaschine Konstruktion Hochschulschrift Bohrmaschine Konstruktion	th-wildau:ZL3000
Wirtschaftsinformatik Wirtschaftlichkeitsanalyse von verschiedenen Personaleinsatzplanungssystemen im Bereich Call Center Analyse Wirtschaftlichkeit Personaleinsatz Hochschulschrift Analyse Wirtschaftlichkeit Personaleinsatz	th-wildau:QH500
Biosystemtechnik / Bioinformatik Lokalisierung der Herkunft des Entzündungsmarkers H2O2 und Laktat in der Lunge durch fraktionierte Sammlung des Atemkondensates Atemgasanalyse Fraktionierung Lactate Wasserstoffperoxid Hochschulschrift Atemgasanalyse Fraktionierung Lactate Wasserstoffperoxid	th-wildau:WF9720
Logistik Analyse und Konzeption der Disposition und Steuerung des Wareneingangs durch Indentifikationssysteme zwischen Werkseinfahrt und den relevanten Entladezonen im Werk Mercedes-Benz Ludwigsfelde Hochschulschrift	th-wildau:QP500
Wirtschaftsingenieurwesen Erstellung einer Erfolgs- und Liquiditätsplanung sowie die Einführung einer Controllingfunktion am Beispiel eines Franchise-Unternehmens Franchising Erfolgsplanung Liquiditätsplanung Controlling Hochschulschrift Franchising Erfolgsplanung Liquiditätsplanung Controlling	th-wildau:QP500
Europäisches Management Risikomanagement am Beispiel eines mittelständischen Familienunternehmens : mit dem Schwerpunkt Projektlebenszyklus Klein- und Mittelbetrieb Risikomanagement Hochschulschrift Klein- und Mittelbetrieb Risikomanagement	th-wildau:QP120
Allgemeiner Maschinenbau Erarbeitung der Instandsetzungsdokumente für den Lichtprojektor Typ LP 150 Projektionsapparat Instandsetzung Hochschulschrift Projektionsapparat Instandsetzung	th-wildau:ZL3000
Allgemeiner Maschinenbau Konstruktion einer Montagevorrichtung (Zentriervorrichtung) zum qualitätsgerechten Eindrücken der Buchsen 1/(4)000063. ...in das Lager 1/(2)017895. ...mittels Presse KuPY 20MV 0.417 Montagesystem Konstruktion Hochschulschrift Montagesystem Konstruktion	th-wildau:ZL3000
Wirtschaft / Recht Zur zivilrechtlichen Haftung bei automatisierter Fahrzeugsteuerung Privatrecht Kraftwagen Hochschulschrift Privatrecht Kraftwagen	th-wildau:PN216
Allgemeiner Maschinenbau Konstruktion eines Schlüsselkennungsprägeautomaten für Anlagenschlüssel unter Verwendung der Säulen-Tisch-Exzenterpresse mit Rundtisch PETS 0,5 e Schlüsselindustrie Konstruktion Hochschulschrift Schlüsselindustrie Konstruktion	th-wildau:ZL3000
Maschinenbau Konzept eines Solarbootantriebs für die wettkampforientierte Anwendung Solarboot Antrieb (Technik) Konzipieren (Technik) Hochschulschrift Solarboot Antrieb 〈Technik〉 Konzipieren 〈Technik〉	th-wildau:ZL3000
Business Management Kundenbeziehungsmanagement vor dem Kauf : eine empirische Analyse zur Bindung potenzieller Kunden im Kaufentscheidungsprozess, am Beispiel der Vimcar GmbH Kundenbindung Kaufentscheidung Verbraucherverhalten Hochschulschrift Kundenbindung Kaufentscheidung Verbraucherverhalten	th-wildau:QP120
Logistik Analyse, Entwicklung und Bewertung der bestehenden und alternativen Transportlogistik von Abfallfraktionen zur Verwertungsanlage unter Einbeziehung der Schiene am Beispiel der Stadtentsorgung Potsdam Prozess Abwicklung Wirtschaftlichkeit Schienenverkehr Hochschulschrift Prozess Abwicklung Wirtschaftlichkeit Schienenverkehr	th-wildau:QP500
Technologie der metallverarbeitenden Industrie Entwurf eines Folie-Tiefziehgerätes zur Herstellung von Batterie-Plastformen für Struktur- und Gehwegplatten sowie Aufbau einer technologischen Fertigungslinie mit erforderlichem Ratiomittelbau Tiefziehmaschine Konstruktion Fertigungslinie Hochschulschrift Tiefziehmaschine Konstruktion Fertigungslinie	th-wildau:ZS3300
Logistik Optimierung des Materialflusses durch eine logistikgerechte Gestaltung unter Gesichtspunkten der Lean Production Hochschulschrift	th-wildau:QP500
Technologie der metallverarbeitenden Industrie Erstellung einer Technologie für die Stirnwandmontage Baustellenanhänger der Typenreihe HB 41.81. sowie Entwurf der dazugehörigen Stirnwandmontagevorrichtung Montage Montagesystem Technologie Hochschulschrift Montage Montagesystem Technologie	th-wildau:ZS3300
Technologie der metallverarbeitenden Industrie Einrichten eines mittels IR verknüpften Fertigungsnestes zur Herstellung von Federspindeln unter Verwendung von NC- oder CNC-gesteuerten Werkzeugmaschinen Werkzeugmaschine Fertigung Hochschulschrift Werkzeugmaschine Fertigung	th-wildau:ZS3300
"Wirtschaftsingenieurwesen Softwaregestützte Simulation unterschiedlicher Szenarien des ""Fertigungsprozesses Eigenkaschierung"" und deren logistische Auswirkungen im Hause koester Fertigung Simulation Computerunterstütztes Verfahren Hochschulschrift Fertigung Simulation Computerunterstütztes Verfahren"	th-wildau:QP500
Betriebswirtschaft Strukturelle Erfolgsanalyse : eine Analyse der Aufwands- und Ertragsstruktur am Beispiel der Bayer AG mit Ableitung von Controllingansätzen Bayer AG Jahresabschluss Erfolgsanalyse Betriebliche Kennzahl Hochschulschrift Jahresabschluss Erfolgsanalyse Bayer AG Betriebliche Kennzahl	th-wildau:QP120
Business Administration Serious Games in Onboarding und Qualifizierung : eine Potentialanalyse am Beispiel der Intralogistik Intralogistik Personalpolitik Serious game Industrie 4.0 Hochschulschrift Intralogistik Personalpolitik Serious game Industrie 4.0 ca. Ende 20. Jahrhundert	th-wildau:QP120
Verwaltung / Recht Arbeitszeitmodelle in der Brandenburgischen Landesverwaltung im Vergleich mit anderen öffentlichen Verwaltungen und Wirtschaftsunternehmen Hochschulschrift	th-wildau:PN216
Business Management Repräsentativitätsproblem von Online-Befragungen am Beispiel einer empirischen Analyse des Einflusses von Geschlecht und Alter auf die Bedeutung von Sicherheit, Design und Leistung beim Autokauf Online-Befragung Repräsentativität Marktforschung Hochschulschrift Online-Befragung Repräsentativität Marktforschung	th-wildau:QP120
Wirtschaftsinformatik Erstellung einer Gewinnbringenden Rollierenden Prognose der Fussball Bundesliga Spieltagen mithilfe von Business Analytics Sportwette Entscheidungsunterstützungssystem Prognose Softwareentwicklung Hochschulschrift Sportwette Entscheidungsunterstützungssystem Prognose Softwareentwicklung	th-wildau:QH500
Wirtschaftsingenieurwesen Projektkonzeption und Vorbereitung zur Einführung eines einheitlichen Kundenmanagementsystems in einem Unternehmen der Baubranche Prozessanalyse Projektplanung Kundenorientierung Ablauforganisation Hochschulschrift Prozessanalyse Projektplanung Kundenorientierung Ablauforganisation	th-wildau:QP500
Logistik Konzeption eines Digital Twins für die Einführung eines neuen Produktes. Produktionstechnik Fertigungskosten Digitale Revolution Arbeitsablaufplanung Hochschulschrift Produktionstechnik Fertigungskosten Digitale Revolution Arbeitsablaufplanung	th-wildau:QP500
Betriebswirtschaft Change Management im Rahmen eines Kostenreduktionsprojektes am Beispiel Vattenfall Vattenfall AB (Vällingby) Change Management Kommunikation Hochschulschrift Change Management Vattenfall AB 〈Vällingby〉 Kommunikation	th-wildau:QP120
Telematik SOA im OP : Workflow-Automatisierung auf Basis eines Integrationsservers Arbeitsablaufplanung Prozessautomation Medizintechnik Operationssaal Serviceorientierte Architektur Hochschulschrift Arbeitsablaufplanung Prozessautomation Medizintechnik Operationssaal Serviceorientierte Architektur	th-wildau:ST230
Betriebswirtschaft Zwischen lokal und global : Logistikstrategien in der Luftfahrtindustrie im Spannungsfeld zwischen Kosten und Kunden Rolls-Royce Deutschland Ltd & Co KG Lieferservice Logistikplanung Hochschulschrift Lieferservice Rolls-Royce Deutschland Ltd & Co KG Logistikplanung	th-wildau:QP120
Wirtschaftsinformatik Projektmanagement für die Einführung eines kontinuierlichen Endgeräteaustauschprozesses mit Entwicklung und Optimierung von Applikationen, Schnittstellen und Dataflow bei Zalando SE Zalando Projektmanagement Automation Hochschulschrift Projektmanagement Zalando 2008- Automation	th-wildau:QH500
Wirtschaftsingenieurwesen Entwicklung eines Vorgehensmodells zur standardisierten Erfassung und Darstellung unternehmensinterner Geschäftsprozesse im Rahmen des Qualitätsmanagements eines pharmazeutischen Unternehmens Standardisierung Visualisierung Hochschulschrift Standardisierung Visualisierung	th-wildau:QP500
Logistik Entwicklung und Berechnung von Kennzahlen zur Mitarbeiterbedarfsplanung in der Logistik im MRO Sondermaschinenbau am Beispiel der MTU-Maintenance Berlin-Brandenburg GmbH Kennzahlensystem Personalkennzahl Personalbedarfsplanung Arbeitszeitbedarf Hochschulschrift Kennzahlensystem Personalkennzahl Personalbedarfsplanung Arbeitszeitbedarf	th-wildau:QP500
Wirtschaft / Recht Stock Options - Analyse der rechtlichen Aspekte zur Entscheidung als geeignetes Modell der Mitarbeiter-Kapitalbeteiligung Hochschulschrift	th-wildau:PN216
Betriebswirtschaft Rentabilitätsanalyse für die Neugründung eines Versicherungsmaklers in Nicaragua Unternehmensgründung Rentabilitätsrechnung Versicherungsmarkt Nicaragua Hochschulschrift Unternehmensgründung Rentabilitätsrechnung Nicaragua Versicherungsmarkt	th-wildau:QP120
Betriebswirtschaft Compliance-Probleme und Lösungsansätze in Kapitalgesellschaften, dargestellt am Beispiel der Wirtschaftskriminalität Wirtschaftskriminalität Prävention Kapitalgesellschaft Hochschulschrift Wirtschaftskriminalität Prävention Kapitalgesellschaft	th-wildau:QP120
Betriebswirtschaft Unternehmenskommunikation im Spannungsfeld zwischen Wirtschaftsinteresse und Bürgerwiderstand : dargestellt am Beispiel Mobilfunkmasten der O2 (Germany) GmbH & Co. OHG Hochschulschrift	th-wildau:QP120
Physikalische Technik Ätzen mit Silizium mit hoher Rate in einer Plasmaätzanlage für die Verkleinerung der Substratdicke bei Kryosensoren Quanteninterferometer Silicium Plasmaätzen Hochschulschrift Quanteninterferometer Silicium Plasmaätzen	th-wildau:ZL3000
Wirtschaftsingenieurwesen Optimierung des Prozesses der Mietwerkzeuge für Kraftwerkstechnik der Siemens AG zur Gewährleistung einer reibungslosen indischen Zollabfertigung mit Hilfe von Lean Administration Lean Management Indien Hochschulschrift Indien Lean Management	th-wildau:QP500
Luftfahrttechnik / Luftfahrtlogistik Drohnenbetrieb an Flughäfen: Möglichkeit der Integration von Drohnendetektion und -abwehr Flugkörper Flughafen Flugsicherheit Luftfahrtrecht Hochschulschrift Flugkörper Flughafen Flugsicherheit Luftfahrtrecht	th-wildau:ZO7202
Technologie der metallverarbeitenden Industrie Technologische Vorbereitung der Herstellung der Kappe (MSS) auf einem Stanz- und Biegeautomaten einschließlich Werkzeugentwurf Fertigung Ablaufplanung Hochschulschrift Fertigung Ablaufplanung	th-wildau:ZS3300
Betriebswirtschaft Marktanalyse zur Umsetzung kaufbarer Garantiepakete im LKW-Segment : am Beispiel der DaimlerChrysler Vertriebsorganisation Deutschland Hochschulschrift	th-wildau:QP120
Wirtschaftsingenieurwesen Konzept zur Optimierung von Logistikprozessen entlang der Lieferkette einer Serienproduktion der Luft- und Raumfahrtindustrie Hochschulschrift	th-wildau:QP500
Wirtschaftsingenieurwesen Möglichkeiten und Grenzen der Steuerung des Oberbau-/Inspektionsbudgets anhand eines Vergleiches der Netzbezirke Berlin Grunewald und Rummelsburg DB Netz AG Hochschulschrift DB Netz AG	th-wildau:QP500
Technologie der metallverarbeitenden Industrie Optimierung des Galvanikprozesses in der DKL-Fertigung Galvanotechnik Optimierung Hochschulschrift Galvanotechnik Optimierung	th-wildau:ZS3300
"Technologie der metallverarbeitenden Industrie Technologische Aufgabenstellung, Anfertigung eines Ratiomittels zum automatisierten Fügen von Welle und Läufer der Tischschleifmaschine ""TS 125"" Fertigung Automation Hochschulschrift Fertigung Automation"	th-wildau:ZS3300
Technologie der metallverarbeitenden Industrie Erarbeitung einer De- und Montagetechnologie für ECO-Heizflächen des 320 t/h DE im HKW Rummelsburg Montagesystem Konstruktion Hochschulschrift Montagesystem Konstruktion	th-wildau:ZS3300
Betriebswirtschaft Entwicklung einer Entscheidungsgrundlage zur Optimierung künftiger Mengenplanung im automatischen Kleinteilelager im Logistikzentrum Kaufland Lübbenau Prozesskosten Einflussgröße Unternehmen Hochschulschrift Prozesskosten Einflussgröße Unternehmen	th-wildau:QP120
Betriebswirtschaft Motivation - der Schlüssel zum Erfolg eines Unternehmens? Durch geeignete Führung und Organisationskultur Mitarbeiterpotentiale voll ausschöpfen Motivation Unternehmen Organisationskultur Mitarbeiter Hochschulschrift Motivation Unternehmen Organisationskultur Mitarbeiter	th-wildau:QP120
Business Administration Gestaltung eines nachhaltigen Projektmanagements Nachhaltigkeit Projektmanagement Ökologie Marketing Hochschulschrift Nachhaltigkeit Projektmanagement Ökologie Marketing	th-wildau:QP120
Wirtschaftsingenieurwesen Bewertung der vorhandenen Produktionsstrukturen bei der Umsetzung eines Produktanlaufes in der brasilianischen Automobilindustrie Kraftfahrzeugindustrie Internationalisierung Produktionsstruktur Beschaffungslogistik Brasilien Hochschulschrift Kraftfahrzeugindustrie Internationalisierung Brasilien Produktionsstruktur Beschaffungslogistik	th-wildau:QP500
Wirtschaft / Recht Vergleich von Schaltanlagenbauweisen/Isolationstechnologien im Bereich der Mittelspannungsverteilnetze der öffentlichen Versorgung in Deutschland - Wirtschaftlichkeitsbetrachtung Hochschulschrift	th-wildau:PN216
Maschinenbau Konstruktion, Bau und Erprobung eines Turbulenzschirms Ventilator Strömung Hochschulschrift Ventilator Strömung	th-wildau:ZL3000
Betriebswirtschaft Einführungsstrategien für neue Blutzuckermessgeräte auf einem gesättigten Markt - darstellung am Beispiel eines pharmazeutischen Herstellers Hochschulschrift	th-wildau:QP120
Betriebswirtschaft Vergleichende Analyse der Pressegroßhandelssysteme in Deutschland und Österreich Pressegroßhandel Vergleich Deutschland Österreich Hochschulschrift Pressegroßhandel Deutschland Österreich Vergleich	th-wildau:QP120
Business Management Geschäftsprozessmanagement bei einem schnell wachsenden Unternehmen und den damit verbundenen Optimierungen am Beispiel der Tétris Projects GmbH Prozesskette Prozessoptimierung Prozesssteuerung Hochschulschrift Prozesskette Prozessoptimierung Prozesssteuerung	th-wildau:QP120
Betriebswirtschaft Social Media Marketing. Das Web 2.0 als Lichtblick für Unternehmen am Beispiel des Start-Ups für Babynahrung Yamo. Social Media World Wide Web 2.0 Internetökonomie Medienpolitik Hochschulschrift Social Media World Wide Web 2.0 Internetökonomie Medienpolitik	th-wildau:QP120
Logistik Optimierung der Ladekapazität im Warenverkehr zwischen Deutschland und Russland am Beispiel der deutschen Firma Otto Group in Russland Warenverkehr Beladung Transportmittel Hochschulschrift Warenverkehr Beladung Transportmittel	th-wildau:QP500
Wirtschaftsinformatik Kostenmanagement - Möglichkeiten und Grenzen durch die Einführung von Cloud-Computing Virtualisierung Architektur Datensicherung Geschäftsplan Hochschulschrift Virtualisierung Architektur Datensicherung Geschäftsplan	th-wildau:QH500
Allgemeiner Maschinenbau Rekonstruktion einer Kranbahnanlage Kranbahn Rekonstruktion Hochschulschrift Kranbahn Rekonstruktion	th-wildau:ZL3000
Business Management Chancen, Entwicklungen und potentielle Risikofaktoren von Instrumentalanwendungen im mobilen Customer Relationship Management : eine empirische Verbraucherbefragung und Quantifizierung Kundenbindung Vermarktung Marketing Verbraucher Hochschulschrift Kundenbindung Vermarktung Marketing Verbraucher	th-wildau:QP120
Betriebswirtschaft Konzept zur erfolgreichen Gründung und Finanzierung eines Wholly Foreign Owned Enterprise (WFOE) in China, um Handel mit der Europäischen Union, insbesondere mit Deutschland zu betreiben Freihandelszone Tsingtau Hochschulschrift Tsingtau Freihandelszone	th-wildau:QP120
Allgemeiner Maschinenbau Erarbeitung eines optimalen Fertigungsablaufes bzw. der technologischen Fertigungsunterlagen für die Herstellung der Baugruppe Box vollständig des Gerätes SKR 1000 Fertigung Ablaufplanung Hochschulschrift Fertigung Ablaufplanung	th-wildau:ZL3000
Technologie der metallverarbeitenden Industrie Untersuchung des Sn- und Pb-Abbrandes bei der Herstellung von Verbundgleitlagern im Schleudergußverfahren Metallverarbeitung Metallguss Fertigungstechnik Hochschulschrift Metallverarbeitung Metallguss Fertigungstechnik	th-wildau:ZS3300
Technologie der metallverarbeitenden Industrie Die technisch-technologische und organisatorische Aufbereitung von Unispan 110 für die Lehrproduktion Berufsausbildung Lehrmittel Materialflussplanung Hochschulschrift Berufsausbildung Lehrmittel Materialflussplanung	th-wildau:ZS3300
Betriebswirtschaft Das Kaufverhalten der Aktionäre während der aktuellen Finanzkrise Aktienmarktanalyse Finanzkrise Hochschulschrift Aktienmarktanalyse Finanzkrise	th-wildau:QP120
Technologie der metallverarbeitenden Industrie Technologischer Entwurf eines Schweißarbeitsplatzes fuer Gitterfelder unter Einsatz von Industrierobotertechnik des VEB Kombinat ZIM Industrieroboter Schweißen Hochschulschrift Industrieroboter Schweißen	th-wildau:ZS3300
Business Management Konzeption eines Controlling-Systems in einem mittelständischen Handelsunternehmen Controlling Klein- und Mittelbetrieb Hochschulschrift Controlling Klein- und Mittelbetrieb	th-wildau:QP120
Betriebswirtschaft Umsetzung interner Kontrollsysteme in DAX notierten Unternehmen und die Auswirkungen auf deren Mitarbeiter Compliance-System Internes Kontrollsystem Hochschulschrift Compliance-System Internes Kontrollsystem	th-wildau:QP120
Betriebswirtschaft Gestaltung von kommunikationspolitischen Marketingkonzepten in der Personaldienstleistungsbranche am Beispiel von PRofiFLITZER GmbH Marketingkonzept Kommunikationspolitik Hochschulschrift Marketingkonzept Kommunikationspolitik	th-wildau:QP120
Maschinenbau Kinematik- und Elastokinematikoptimierung eines SUV-Hinterachskonzeptes Hochschulschrift	th-wildau:ZL3000
Business Management Kundensegmentierung im CRM: Analyse des Einflusses von segmentspezifischen Ansprachen auf die Leistungskennzahlen des E-Mail Kanals am Beispiel der Geschenkidee D & A GmbH Kundenmanagement Online-Marketing Hochschulschrift Kundenmanagement Online-Marketing	th-wildau:QP120
Technologie der metallverarbeitenden Industrie Erarbeitung der technologischen Dokumentation für die Herstellung des Bauteiles Laufring 06 47274 000 und Konstruktion einer dazu erforderlichen Vorrichtung Technologie Dokumentation Fertigung Hochschulschrift Technologie Dokumentation Fertigung	th-wildau:ZS3300
Allgemeiner Maschinenbau Untersuchung zur effektiven Fertigungssteuerung und -überwachung in der zentralen Zahnradfertigung, unter besonderer Beachtung der Einbindung in den gesamtbetrieblichen Informationsfluß Fertigungssteuerung Fertigungskontrolle Hochschulschrift Fertigungssteuerung Fertigungskontrolle	th-wildau:ZL3000
Verwaltung / Recht Anforderungen an die Anlagenbuchhaltungen in der Polizei des Landes Brandenburg aus Sicht der Beauftragten des Haushalts und der Beauftragten des Rechnungswesens Hochschulschrift	th-wildau:PN216
Wirtschaft / Recht Die bilanz- und umsatzsteuerrechtliche Behandlung von Smart Home Systemen Gebäudeleittechnik Steuerrecht Hochschulschrift Gebäudeleittechnik Steuerrecht	th-wildau:PN216
Biosystemtechnik / Bioinformatik Entwicklung eines Hochdurchsatzsequenzierungs-Workflows für Krebserkrankungen DNS Isolierung (Medizin) Sequenzanalyse (Chemie) Hochschulschrift DNS Isolierung (Medizin) Sequenzanalyse 〈Chemie〉	th-wildau:WF9720
Allgemeiner Maschinenbau Entwicklung eines Farbduktordrehantriebes für BRO - Maschinen P4 Antrieb (Technik) Konstruktion Hochschulschrift Antrieb 〈Technik〉 Konstruktion	th-wildau:ZL3000
"Maschinenbau Programmentwicklung für ein Lehr- und Ausbildungsprogramm ""Dauerfestigkeitsnachweis"" gemäß TGL 19340 Hochschulschrift"	th-wildau:ZL3000
Allgemeiner Maschinenbau Konstruktion eines [elektrisch] beheizten Bremsbelag-Preßwerkzeuges mit Auswerfersystem zum Entformen des Bremsbelages Zeichnungsnummer 27484 im asbestfreien Materialtyp 901 Presswerkzeug Konstruktion Hochschulschrift Presswerkzeug Konstruktion	th-wildau:ZL3000
Biosystemtechnik / Bioinformatik Anforderungsanalyse für ein Bildverarbeitungssystem zur taxonomischen Bestimmung des Phytoplanktons in Gewässerproben Wasserprobe Phytoplankton Systematik Bildverarbeitung Hochschulschrift Wasserprobe Phytoplankton Systematik Bildverarbeitung	th-wildau:WF9720
Allgemeiner Maschinenbau Vorrichtungen zum Wechseln von Rohrbündeln Montage Konstruktion Hochschulschrift Montage Konstruktion	th-wildau:ZL3000
Luftfahrttechnik / Luftfahrtlogistik Untersuchung und Evaluierung von alternativer und / oder ergänzenden Sensortechnologien für verschiedene Anwendungsfälle im Bereich der automatisierten Rollführung sowie Roll- und Vorfeldüberwachung am Beispiel des Flughafens Frankfurt am Main Nutzung Bewertung Hochschulschrift Nutzung Bewertung	th-wildau:ZO7202
Europäisches Management Die Besteuerung der digitalen Wirtschaft : Herausforderungen und aktuelle Lösungsansätze Wirtschaft Digitalisierung Steuer Hochschulschrift Wirtschaft Digitalisierung Steuer	th-wildau:QP120
Allgemeiner Maschinenbau Berechnung und Konstruktion eines stationären Strahlstandes zur Beseitigung von Korrosionsprodukten an Flugzeugbauteilen Flugzeugbau Instandhaltung Konstruktion Hochschulschrift Flugzeugbau Instandhaltung Konstruktion	th-wildau:ZL3000
Technologie der metallverarbeitenden Industrie Organisation eines optimierten Fertigungsbelegsatzes fuer den Bereich Schmiede Verarbeitende Industrie Schmiede Hochschulschrift Verarbeitende Industrie Schmiede	th-wildau:ZS3300
Technologie der metallverarbeitenden Industrie Erarbeitung einer optimalen Werkzeugkonzeption zur Fertigung des Lagerbocks für Hochlastdrahtdrehwiderstände Zeichnungsnummer 23250.1-2:1 Fertigung Ablaufplanung Hochschulschrift Fertigung Ablaufplanung	th-wildau:ZS3300
"Photonik Transfer eines etablierten Die-Bond-Prozesses vom Flip-Clip-Bondautomaten ""FC 150"" auf den Die-Bond-""Fineplacer Sigma"" zur Integration eines Lasermoduls in ein Sensorsystem Laser Sensorsystem Hochschulschrift Laser Sensorsystem"	th-wildau:ZN6280
Allgemeiner Maschinenbau Technologischer Variantenvergleich, Technologie und Ausweis von Rationalisierungsmitteln für die komplette Fertigung des 0,5 m³ Tieflöffels Rationalisierung Technologie Hochschulschrift Rationalisierung Technologie	th-wildau:ZL3000
Allgemeiner Maschinenbau Erarbeitung eines technologischen Projektes zur Produktion der Schleifringkörper SRK 36 mm Projektplanung Ablaufplanung Hochschulschrift Projektplanung Ablaufplanung	th-wildau:ZL3000
Technologie der metallverarbeitenden Industrie Konstruktive Veränderung der Zustell- und Vorschubmechanik an der Sondermaschine zum Zentrieren optischer Kittgruppen Konstruktion Steuerungstechnik Hochschulschrift Konstruktion Steuerungstechnik	th-wildau:ZS3300
Technologie der metallverarbeitenden Industrie Technologisches Projekt für den Bau einer Werkstatt zur Herstellung von Rationalisierungsmitteln im Spezialbau Friedersdorf Projektplanung Rationalisierung Werkstatt Hochschulschrift Projektplanung Rationalisierung Werkstatt	th-wildau:ZS3300
Telematik Erstellung und Abgleich eines Akustik-Profils als Gegenmaßnahme für Relay Station Attacken auf Zugangssysteme im Fahrzeug Akustik Hochschulschrift Akustik	th-wildau:ST230
Telematik Entwicklung und Implementation einer Software zur Simulation und Demonstration der RFID-Technologie unter Berücksichtigung von logistischen Anforderungen Softwareentwicklung RFID Graphische Benutzeroberfläche Logistik Hochschulschrift Softwareentwicklung RFID Graphische Benutzeroberfläche Logistik	th-wildau:ST230
Technologie der metallverarbeitenden Industrie Erarbeitung von Reparaturtechnologien für schlagend arbeitende Druckluftwerkzeuge einschließlich der Kostenkalkulation mit dem Ziel der Einführung einheitlicher Reparaturtechnologien in den Vertragswerkstätten Reparatur Druckluftwerkzeug Hochschulschrift Reparatur Druckluftwerkzeug	th-wildau:ZS3300
